_id,Name,Legal Name,Start Date,Street Number,Street Name,ZIP Code,Lat,Lon,Category
85,Bruster's Ice Cream # 324,Sharp5 LLC,8/26/2009,4940,Library Rd,15102,40.3438150,-80.0274300,"Breakfast, Drink, Other"
86,Buon Giorno Cafe,Buon Giorno Cafe Inc,9/5/1997,20,Stanwix St,15222,40.4386700,-80.0051790,"Breakfast, Drink, Other"
87,Buon Giorno Cafe,Boston Conquest Inc,12/30/2015,6,Smithfield St,15222,40.4368650,-80.0005120,"Breakfast, Drink, Other"
88,Burger King #463,5 Development Corp,10/24/1986,4885,Wm Flynn Hwy,15101,40.6019370,-79.9477690,Dollar Menu
89,Burger King #668,Carrols LLC,7/1/2014,909,Butler St,15223,40.5111660,-79.9474640,Dollar Menu
90,Burger King #670,Carrols LLC,7/12/2014,1002,Emeryville Dr,16046,40.6729900,-80.1003350,Dollar Menu
91,Burger King #671,Carrols LLC,6/24/2014,105,Ohio River Blvd,15143,40.5593730,-80.1651850,Dollar Menu
92,Burger King #2249,5 Development Corp Burger King,1/1/1980,1901,Golden Mile Hwy / Route 286,15239,40.4522150,-79.7129420,Dollar Menu
93,Burger King #2546,PEC Management LLC,6/29/2009,2799,Freeport Rd,15238,40.5385330,-79.8332570,Dollar Menu
94,Burger King #2679,Toms King (Penn) LLC,4/26/2012,10955,Perry Hwy,15090,40.6174967,-80.0561118,Dollar Menu
95,Burger King #3030,Toms King (Penn) LLC,4/25/2012,1901,Lincoln Hwy,15137,40.3682810,-79.7774850,Dollar Menu
96,Burger King #3855,,6/17/1984,2900,Brownsville Rd,15210,40.3823670,-79.9769140,Dollar Menu
97,Burger King #4192,Toms King LLC Penn,2/13/2014,1820,Carson St,15203,40.4284480,-79.9795410,Dollar Menu
98,Burger King #4350,Kondisko & Hoover Inc,4/8/1985,3220,Library Rd,15234,40.3696600,-80.0116160,Dollar Menu
99,Burger King #7351,5 Development Corp,8/27/1992,4490,Broadway Blvd,15146,40.3915060,-79.7665880,Dollar Menu
100,Burger King #11346,Patterson Erie Corp,11/21/1997,5940,University Blvd,15108,40.5218570,-80.2180240,Dollar Menu
101,Burger King #11672,Tom King (Penn) LLC,5/16/2012,415,Home Dr,15275,40.4502830,-80.1820530,Dollar Menu
