stname,tractfips,"estimated smoking prevalence, 2006-2010"
Pennsylvania,42003493000,0.28526089
Pennsylvania,42003494000,0.285705144
Pennsylvania,42003495000,0.268621961
Pennsylvania,42003496101,0.257758839
Pennsylvania,42003496102,0.261063511
Pennsylvania,42003496200,0.240664246
Pennsylvania,42003497000,0.274911677
Pennsylvania,42003498000,0.271841624
Pennsylvania,42003499300,0.259635197
Pennsylvania,42003499400,0.280994603
Pennsylvania,42003500300,0.275864699
Pennsylvania,42003501000,0.251734337
Pennsylvania,42003502000,0.254543069
Pennsylvania,42003503001,0.262078391
Pennsylvania,42003503002,0.221235574
Pennsylvania,42003504100,0.269746366
Pennsylvania,42003504400,0.261069521
Pennsylvania,42003505000,0.222901324
Pennsylvania,42003506000,0.299857259
Pennsylvania,42003507000,0.278087393
Pennsylvania,42003508000,0.279030423
Pennsylvania,42003509400,0.264276923
Pennsylvania,42003510000,0.275700805
Pennsylvania,42003511000,0.252162289
Pennsylvania,42003512000,0.279506245
Pennsylvania,42003512800,0.225669575
Pennsylvania,42003512900,0.224083083
Pennsylvania,42003513800,0.222588663
Pennsylvania,42003514000,0.232008032
Pennsylvania,42003515100,0.255327928
Pennsylvania,42003515200,0.254109308
Pennsylvania,42003515300,0.261389118
Pennsylvania,42003515400,0.237538386
Pennsylvania,42003515500,0.165843442
Pennsylvania,42003516100,0.185081104
Pennsylvania,42003516200,0.178011125
Pennsylvania,42003517000,0.246175621
Pennsylvania,42003518001,0.163456107
Pennsylvania,42003518002,0.212305321
Pennsylvania,42003519000,0.147576022
Pennsylvania,42003520001,0.192966955
Pennsylvania,42003520002,0.231942173
Pennsylvania,42003521100,0.231423848
Pennsylvania,42003521200,0.220151983
Pennsylvania,42003521301,0.193307153
Pennsylvania,42003521302,0.230048459
Pennsylvania,42003521401,0.210702258
Pennsylvania,42003521402,0.137558076
Pennsylvania,42003521500,0.209954059
Pennsylvania,42003522000,0.296345991
Pennsylvania,42003523100,0.194267856
Pennsylvania,42003523200,0.235420639
Pennsylvania,42003523300,0.218936755
Pennsylvania,42003523400,0.249323011
Pennsylvania,42003523501,0.250724088
Pennsylvania,42003523502,0.262209319
Pennsylvania,42003523600,0.225732132
Pennsylvania,42003523701,0.264949561
Pennsylvania,42003523702,0.25954457
Pennsylvania,42003523800,0.233268961
Pennsylvania,42003524000,0.304129152
Pennsylvania,42003525100,0.196596905
Pennsylvania,42003525200,0.201735127
Pennsylvania,42003525300,0.194120639
Pennsylvania,42003526101,0.233976841
Pennsylvania,42003526102,0.246713591
Pennsylvania,42003526201,0.251969721
Pennsylvania,42003526202,0.263152705
Pennsylvania,42003526301,0.257315577
Pennsylvania,42003526302,0.240342133
Pennsylvania,42003550900,0.271555902
Pennsylvania,42003551200,0.289460598
Pennsylvania,42003551300,0.246819774
Pennsylvania,42003551900,0.316493646
Pennsylvania,42003552000,0.299794738
Pennsylvania,42003552100,0.293886145
Pennsylvania,42003552200,0.281754966
Pennsylvania,42003552300,0.269948327
Pennsylvania,42003552400,0.270674279
Pennsylvania,42003560400,0.215645102
Pennsylvania,42003560500,0.236566484
Pennsylvania,42003560600,0.21411242
Pennsylvania,42003561000,0.235330131
Pennsylvania,42003561100,0.205057244
Pennsylvania,42003561200,0.185467247
Pennsylvania,42003561400,0.207686971
Pennsylvania,42003561500,0.216784819
Pennsylvania,42005980100,0.248383553
Pennsylvania,42005980200,0.270931865
Pennsylvania,42005980300,0.271768352
Pennsylvania,42005980400,0.263677271
Pennsylvania,42005980500,0.234371443
Pennsylvania,42005980600,0.278562933
Pennsylvania,42005980700,0.260163137
Pennsylvania,42005980800,0.269215386
Pennsylvania,42005980900,0.23406761
Pennsylvania,42005981000,0.240075257
Pennsylvania,42005981100,0.25684988
Pennsylvania,42005981200,0.247611149
Pennsylvania,42005981300,0.227347155
Pennsylvania,42005981400,0.259623359
Pennsylvania,42005981500,0.267252596
Pennsylvania,42005981600,0.269607577
Pennsylvania,42005981700,0.28457573
Pennsylvania,42005981800,0.233667899
Pennsylvania,42005981900,0.245764095
Pennsylvania,42007600101,0.240611778
Pennsylvania,42007600102,0.238073578
Pennsylvania,42007600200,0.219271735
Pennsylvania,42007600300,0.227329542
Pennsylvania,42007600400,0.225135294
Pennsylvania,42007600500,0.250841692
Pennsylvania,42007600601,0.248467103
Pennsylvania,42007600602,0.224431512
Pennsylvania,42007600700,0.201143779
Pennsylvania,42007600800,0.238377974
Pennsylvania,42007600900,0.255674126
Pennsylvania,42007601000,0.210784313
Pennsylvania,42007601100,0.25468931
Pennsylvania,42007601200,0.253031058
Pennsylvania,42007601300,0.246812898
Pennsylvania,42007601400,0.273666895
Pennsylvania,42007601500,0.287209898
Pennsylvania,42007601600,0.267923445
Pennsylvania,42007601700,0.240394187
